Floor Area,Floor Number,#ofPeople,schedule_recorded,total_window_area,Heating,Lighting,Equipment
103.037993,1,0.01941,0,15.7,53.25,17.33,5.76
84.290021,0,0.059319,3,14.46,58.98,17.98,5.76
101.739004,0,0.029487,3,15.42,49.6,17.47,5.76
135.790398,2,0.014729,1,17.51,85.46,16.14,5.76
74.756213,1,0.04013,0,13.9,77.74,16.83,5.76
121.426954,1,0.024706,0,16.64,69.91,17.49,5.76
98.709372,2,0.020262,0,21.15,51.51,15.48,5.76
94.481435,2,0.010584,1,15.01,98.34,15.7,5.76
105.074978,2,0.028551,0,15.42,71.4,16.91,5.76
67.868995,2,0.044203,2,13.65,115.04,15.37,5.76
71.562701,0,0.027948,3,13.66,31.01,17.46,5.76
77.896748,1,0.038513,2,14.14,105.57,15.49,5.76
72.587177,1,0.04133,2,13.78,119.6,16.73,5.76
88.823853,2,0.011258,1,14.14,93.36,15.77,5.76
102.405391,2,0.048826,0,15.76,62.26,15.62,5.76
126.830719,1,0.023654,0,26.13,66.73,15.85,5.76
68.165053,0,0.029341,3,12.85,35.9,17.9,5.76
147.010976,1,0.020407,0,18.35,66.34,17.66,5.76
94.139983,2,0.021245,0,14.9,50.16,15.64,5.76
67.985729,0,0.044127,3,13.14,60.36,17.38,5.76
154.78863,1,0.019381,0,18.67,62.99,17.03,5.76
125.752833,0,0.039761,3,24.16,51.26,17.52,5.76
91.79633,1,0.054468,0,14.9,72.54,16.74,5.76
106.392689,1,0.018798,0,21.89,54.72,15.89,5.76
143.194705,2,0.006983,2,18.15,86.41,16.04,5.76
80.857397,1,0.012367,2,13.83,116.73,16.61,5.76
95.917339,1,0.031277,0,14.98,74.82,16.83,5.76
113.023291,1,0.008848,2,16.03,99.97,17.16,5.76
71.337468,2,0.042054,0,12.69,72.22,15.59,5.76
72.7994,2,0.027473,0,13.82,50.72,15.59,5.76
106.857258,0,0.009358,3,15.69,50.81,18.16,5.76
100.818168,0,0.019838,3,15.62,53.86,17.06,5.76
67.285304,0,0.044586,3,13.75,50.13,15.51,5.76
91.945038,2,0.032628,2,14.87,98.77,15.64,5.76
99.260871,0,0.050372,3,15.18,46.97,18.24,5.76
97.601906,0,0.010246,3,15.4,57.31,19.28,5.76
99.892516,1,0.030032,0,15.2,71.28,15.75,5.76
68.916815,2,0.02902,0,12.72,53.91,15.6,5.76
185.47414,1,0.016175,0,20.43,65.16,16.95,5.76
221.916008,2,0.013519,0,22.44,54.38,16.01,5.76
127.925859,1,0.023451,2,24,104.7,16.98,5.76
88.834354,0,0.033771,3,14.53,60.35,18.28,5.76
68.165053,1,0.044011,0,12.85,82.4,16.47,5.76
97.394705,2,0.010267,1,15.21,97.01,15.71,5.76
166.842565,2,0.011987,1,19.38,75,16.26,5.76
86.978825,1,0.011497,1,14.44,109.43,17.2,5.76
77.004954,0,0.038959,3,14.06,53.02,17.18,5.76
87.397653,0,0.011442,3,14.63,64.47,18.65,5.76
102.377191,0,0.048839,3,15.69,49.08,17.81,5.76
94.506536,0,0.010581,3,14.9,61.5,18.26,5.76
125.596909,2,0.023886,0,24.44,67.83,15.84,5.76
96.052763,0,0.031233,3,15.03,51.07,18.56,5.76
104.114843,2,0.028814,0,15.79,70.26,16.23,5.76
104.390246,0,0.009579,3,15.77,49.93,18.03,5.76
127.925859,1,0.023451,0,24,72.12,15.63,5.76
94.235208,1,0.053059,0,14.99,72.49,17.1,5.76
89.127113,2,0.03366,0,14.8,77.01,15.67,5.76
90.383767,0,0.05532,3,14.43,48.96,16.93,5.76
68.950127,2,0.04351,0,12.46,75.9,15.89,5.76
100.017115,0,0.029995,3,15.31,52.01,18.06,5.76
117.610982,1,0.025508,0,23.79,74.77,16.3,5.76
91.526247,1,0.010926,2,14.4,99.56,15.96,5.76
106.574302,0,0.046916,3,15.8,53.9,18.56,5.76
100.363736,1,0.009964,1,15.54,87.96,15.8,5.76
75.61103,0,0.039677,3,13.46,46.79,15.95,5.76
79.739818,1,0.025082,0,13.97,45.51,16.13,5.76
77.558132,0,0.012894,3,13.58,60.38,16.63,5.76
72.587177,1,0.027553,1,13.78,114.3,16.5,5.76
126.413932,2,0.023732,0,25.59,75.24,16.14,5.76
73.440309,2,0.013617,1,13.73,113.69,15.56,5.76
89.574729,0,0.033492,3,14.45,44.13,16.37,5.76
