Floor_Area,Floor_Number,ofPeople_service,ofPeople_living,ofPeople_bedroom,Construction_recorded,schedule_recorded,Window_Count,w_north,w_north-east,w_east,w_south-east,w_south,w_south-west,w_west,w_north-west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Cooling,Heating,Lighting,Equipment
49.56,2,0.144,0.144,0.072,0,0,3,0,1,0,0,0,0,0,1,11.2,1,1,1,1,0,0,1,1,38.11,23.57,7.03,2.38
42.5,5,0.082,0.082,0.041,0,2,6,0,0,0,1,0,1,0,1,12.11,0,0,0,0,0,0,0,0,50.11,73.53,8.37,2.38
84.54,2,0.071,0.071,0.071,0,2,7,0,1,0,1,0,1,0,0,11.31,0,0,0,0,0,0,0,0,24.15,60.51,6.09,1.59
111.38,2,0.204,0.204,0.102,0,0,4,0,1,0,0,0,0,0,1,13.96,1,1,1,1,0,0,1,1,43.38,26.67,7.07,2.38
59.74,3,0.107,0.107,0.054,0,0,3,0,0,0,0,0,1,0,1,13.22,1,1,1,1,1,0,0,0,38.79,19.81,7.26,2.38
84.35,6,0.148,0.148,0.148,0,0,4,0,1,0,0,0,0,0,1,9.45,0,0,0,0,0,0,0,1,46.19,43.5,5.85,1.59
67.02,1,0.055,0.055,0.028,0,0,4,0,0,0,1,0,1,1,0,10.26,0,0,0,0,0,0,0,0,25.14,35.84,8.93,2.38
69.71,3,0.065,0.065,0.065,1,2,7,0,1,0,1,0,1,0,0,16.43,0,0,0,0,0,0,1,0,13.41,18.98,9.65,1.59
128.51,1,0.048,0.048,0.024,0,1,4,0,1,0,1,0,0,0,0,11.04,0,0,1,1,1,0,0,0,31.3,24.51,8.05,2.38
51.8,2,0.053,0.053,0.026,0,2,6,0,1,1,0,0,0,1,1,14.93,0,0,1,0,1,1,1,0,37.82,37.86,7.17,2.38
83.6,2,0.102,0.102,0.051,0,0,4,0,0,1,0,1,0,0,0,13.02,1,0,0,1,1,1,0,0,35.12,24.91,8.26,2.38
97.85,6,0.065,0.065,0.032,0,1,4,1,0,1,1,0,0,0,0,9.42,0,0,0,1,1,0,0,0,59.45,51.77,7.09,2.38
63.26,2,0.142,0.142,0.142,0,0,7,0,1,0,1,0,1,0,0,14.13,0,0,0,0,0,1,0,0,35.67,52.47,6.41,1.59
51.74,4,0.045,0.045,0.022,0,2,4,0,1,0,0,0,0,0,1,11.33,0,0,0,0,0,0,0,0,20.61,25.91,10.78,2.38
50.33,4,0.017,0.017,0.017,0,2,4,0,0,0,0,0,1,0,1,15.86,0,0,0,0,0,0,0,0,21.71,21.61,5.92,1.59
62.5,1,0.043,0.043,0.022,0,1,4,1,1,0,0,0,0,0,1,11.93,0,0,0,0,0,0,0,0,28.69,28.57,7.78,2.38
66.63,2,0.165,0.165,0.082,0,0,4,1,0,1,1,0,0,0,0,10.24,0,0,0,0,0,0,1,1,19.2,33.22,11.92,2.38
146.76,5,0.051,0.051,0.051,0,0,4,0,0,0,1,0,1,0,0,9.63,1,0,0,0,0,0,0,1,30.43,48.79,8.11,1.59
56.24,1,0.119,0.119,0.06,0,0,4,0,0,0,0,0,1,0,1,12.03,1,0,0,0,0,0,0,0,16.19,28.22,11.9,2.38
63.62,4,0.066,0.066,0.033,0,0,3,0,0,0,0,0,1,0,1,9.47,0,0,0,0,0,0,0,0,26.07,35.7,9.33,2.38
92.25,2,0.301,0.301,0.15,0,0,3,0,1,0,0,0,0,0,1,10.43,0,0,0,0,0,0,0,0,22.55,31.09,8.9,2.38
70.89,6,0.031,0.031,0.016,0,2,4,0,0,0,1,0,1,0,0,14.01,0,1,0,1,1,0,0,0,44.76,35.73,7.52,2.38
74,4,0.178,0.178,0.089,0,0,3,1,0,0,0,0,0,1,0,9.87,0,0,0,0,0,0,0,0,30.83,23.6,7.34,2.38
83.58,3,0.243,0.243,0.121,0,0,3,0,0,1,0,1,0,0,0,11.28,0,0,0,0,0,0,0,0,26.59,27.63,8.85,2.38
99.67,6,0.107,0.107,0.054,0,0,3,0,1,0,0,0,0,0,1,12.82,0,0,0,0,0,0,0,0,40.35,30.18,7.08,2.38
94.04,6,0.079,0.079,0.079,0,0,4,0,1,0,0,0,0,0,1,12.85,1,1,0,0,1,1,1,0,29.9,29.93,7.64,1.59
139.23,1,0.143,0.143,0.072,0,0,5,0,1,0,0,0,1,0,1,15.83,0,1,0,0,1,0,1,1,37.92,41.3,6.87,2.38
102,1,0.028,0.028,0.014,0,2,4,0,1,0,1,0,0,0,0,14.28,1,1,0,0,1,1,0,1,13.23,22.72,11.59,2.38
61.49,6,0.036,0.036,0.036,0,1,4,0,0,0,0,0,1,0,1,11.46,0,1,1,1,0,0,1,0,49.63,35.74,5.79,1.59
48.63,1,0.223,0.223,0.223,0,0,7,0,1,0,1,0,0,0,1,13.91,1,1,0,0,0,0,1,1,32,39.19,5.91,1.59
64.21,5,0.057,0.057,0.057,0,1,4,0,0,0,1,0,1,0,0,8.88,0,0,0,0,0,0,0,1,31.76,46.01,7.8,1.59
52.14,3,0.065,0.065,0.033,0,1,4,1,0,0,0,0,0,1,0,9.63,0,0,0,0,0,0,0,0,16.5,30.68,10.83,2.38
61.05,4,0.224,0.224,0.112,0,0,4,1,0,0,0,0,1,0,1,11.36,0,0,1,0,0,0,0,0,20.1,27.79,9.02,2.38
102.66,1,0.064,0.064,0.032,0,0,3,0,0,0,1,0,1,0,0,9.84,1,0,0,0,0,0,0,0,22.98,30.82,10.24,2.38
48.82,3,0.116,0.116,0.058,0,0,4,0,0,0,0,0,1,0,1,12.29,0,0,0,0,0,1,0,0,19,29.09,11.98,2.38
153.25,4,0.034,0.034,0.034,0,0,4,0,0,0,0,0,1,0,1,11.33,0,0,0,1,0,0,0,0,33.17,21.91,5.91,1.59
52.6,3,0.091,0.091,0.046,1,2,5,0,1,0,1,0,0,0,1,16.35,0,0,0,0,0,0,0,0,23.26,22.88,7.65,2.38
112.07,6,0.047,0.047,0.024,0,2,6,1,1,0,0,0,1,0,0,15.77,0,0,0,0,0,0,0,0,49.92,50.91,6.92,2.38
80.91,5,0.21,0.21,0.105,0,0,4,1,0,1,0,0,0,0,1,11.79,0,1,0,0,0,0,0,0,35.56,37.61,7.3,2.38
58.03,4,0.037,0.037,0.019,0,1,4,1,0,0,0,0,0,1,0,12.79,1,1,1,0,1,0,1,1,22.8,28.86,10.9,2.38
140.64,1,0.216,0.216,0.108,0,0,5,1,0,1,0,0,0,1,0,13.08,0,0,0,1,1,0,0,0,21.99,40.81,8.33,2.38
77.43,3,0.04,0.04,0.02,0,2,3,1,0,1,0,0,0,0,0,11.97,0,0,0,0,1,0,0,0,18.54,28.88,10.2,2.38
128.3,2,0.155,0.155,0.077,1,2,4,1,1,0,1,0,0,0,0,8.7,0,0,0,0,0,0,0,0,14.8,24.5,10.14,2.38
59.26,1,0.123,0.123,0.123,1,2,4,0,0,0,1,0,1,0,0,8.41,0,1,0,0,0,0,0,0,12.5,18.57,8.78,1.59
