Floor Area,Floor Number,#ofPeople,Construction_recorded,schedule_recorded,Window Count,w_north,w_east,w_south,w_west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Building Type,Heating,Lighting,Equipment
96.052763,0,0.031233,0,3,2,1,1,0,0,15.03,0,0,1,0,0,0,0,0,0,51.07,18.56,5.76
104.114843,2,0.028814,0,0,2,0,1,1,0,15.79,0,1,0,0,0,0,1,0,1,70.26,16.23,5.76
104.390246,0,0.009579,0,3,2,1,1,0,0,15.77,0,0,0,1,0,0,0,0,0,49.93,18.03,5.76
127.925859,1,0.023451,0,0,3,1,0,1,1,24,0,0,1,0,0,0,1,1,1,72.12,15.63,5.76
94.235208,1,0.053059,0,0,2,0,0,1,1,14.99,1,0,0,0,0,0,0,0,1,72.49,17.1,5.76
89.127113,2,0.03366,0,0,2,1,1,0,0,14.8,0,0,1,0,1,0,0,0,1,77.01,15.67,5.76
90.383767,0,0.05532,0,3,2,0,1,1,0,14.43,0,0,0,0,0,0,1,1,0,48.96,16.93,5.76
68.950127,2,0.04351,0,0,2,1,0,0,1,12.46,0,0,0,1,0,0,0,0,1,75.9,15.89,5.76
100.017115,0,0.029995,0,3,2,1,0,0,1,15.31,1,0,1,0,0,0,0,0,0,52.01,18.06,5.76
117.610982,1,0.025508,0,0,3,1,0,1,1,23.79,0,0,0,0,0,0,0,0,1,74.77,16.3,5.76
91.526247,1,0.010926,0,2,2,1,0,0,1,14.4,0,0,0,0,0,0,0,0,1,99.56,15.96,5.76
106.574302,0,0.046916,0,3,2,0,0,1,1,15.8,0,0,0,0,0,0,0,0,0,53.9,18.56,5.76
100.363736,1,0.009964,0,1,2,0,1,1,0,15.54,0,0,0,0,0,0,0,0,1,87.96,15.8,5.76
75.61103,0,0.039677,0,3,2,0,1,1,0,13.46,0,0,0,1,1,1,0,0,0,46.79,15.95,5.76
79.739818,1,0.025082,1,0,2,0,0,1,1,13.97,0,0,0,0,0,0,0,0,1,45.51,16.13,5.76
77.558132,0,0.012894,0,3,2,1,1,0,0,13.58,0,0,1,0,0,0,0,0,0,60.38,16.63,5.76
72.587177,1,0.027553,0,1,2,0,0,1,1,13.78,0,0,0,0,1,0,0,0,1,114.3,16.5,5.76
126.413932,2,0.023732,0,0,3,1,1,1,0,25.59,0,1,0,0,0,0,0,1,1,75.24,16.14,5.76
73.440309,2,0.013617,0,1,2,0,0,1,1,13.73,0,0,1,0,0,0,0,0,1,113.69,15.56,5.76
89.574729,0,0.033492,0,3,2,0,1,1,0,14.45,0,1,1,1,0,1,0,0,0,44.13,16.37,5.76
104.972133,1,0.019053,0,1,2,1,1,0,0,15.52,0,0,0,1,0,0,1,0,1,89.51,16.3,5.76
94.481435,1,0.010584,0,1,2,1,1,0,0,15.01,0,0,1,0,0,0,1,0,1,96.28,17.11,5.76
112.812967,0,0.026593,0,3,3,1,1,1,0,22.74,0,0,0,0,0,0,1,1,0,59.66,18.61,5.76
98.3718,0,0.030497,0,3,2,0,0,1,1,14.98,0,0,0,0,1,1,1,1,0,50.32,16.16,5.76
72.070491,1,0.027751,1,0,2,1,0,0,1,13.47,0,0,0,1,1,0,1,1,1,51.73,15.47,5.76
66.161574,2,0.045344,0,0,2,0,1,1,0,13.06,0,0,0,0,0,0,0,0,1,78.61,15.57,5.76
77.896748,1,0.012838,0,2,2,1,1,0,0,14.14,1,0,1,0,0,1,0,0,1,112,15.6,5.76
126.325189,2,0.015832,1,0,2,1,1,0,0,17.13,0,0,0,0,0,0,0,1,1,48.92,15.96,5.76
90.958724,1,0.05497,0,0,2,0,1,1,0,14.66,0,0,0,0,0,0,0,0,1,74.34,17.02,5.76
78.870089,2,0.025358,1,0,2,1,0,0,1,13.39,1,0,0,0,1,0,0,0,1,49.94,15.69,5.76
77.435967,0,0.038742,0,3,2,1,1,0,0,14.2,0,0,1,1,0,0,0,0,0,55.63,16.86,5.76
77.029215,2,0.038946,0,0,2,0,1,1,0,14.11,0,0,0,0,0,0,0,0,1,74.9,15.51,5.76
76.524802,0,0.039203,0,3,2,0,0,1,1,13.18,1,0,0,0,0,0,0,0,0,62.82,18.97,5.76
76.524802,2,0.039203,0,2,2,0,0,1,1,13.18,1,0,0,0,0,0,0,0,1,103.09,15.65,5.76
99.996981,2,0.030001,0,0,2,0,0,1,1,15.24,0,0,0,0,1,1,1,1,1,65.66,15.6,5.76
130.498987,2,0.007663,0,2,3,1,0,1,1,26.34,0,1,0,0,0,0,1,1,1,106.75,16.07,5.76
111.968442,0,0.026793,0,3,3,1,1,1,0,22.45,0,0,0,0,0,0,0,0,0,57.29,16.98,5.76
177.859997,0,0.005622,0,3,2,1,0,0,1,21.01,0,0,0,0,0,0,0,0,0,43.28,17.99,5.76
68.165053,1,0.01467,0,2,2,1,0,0,1,12.85,0,0,0,0,1,1,1,1,1,111.36,16.08,5.76
83.171159,2,0.024047,1,0,2,1,1,0,0,14.4,0,0,1,0,0,1,1,0,1,52.86,15.6,5.76
96.101282,1,0.031217,0,0,2,0,0,1,1,14.94,1,0,0,0,0,0,0,0,1,74.42,17.07,5.76
75.776333,2,0.03959,0,0,2,0,1,1,0,13.11,0,0,0,0,0,0,0,0,1,73.81,16.1,5.76
96.489927,0,0.051819,0,3,2,0,1,1,0,15.2,0,0,0,0,0,0,0,0,0,55.93,18.18,5.76
107.578997,0,0.009295,0,3,3,1,1,0,1,23.82,1,0,0,0,0,0,0,0,0,57.43,17.21,5.76
98.337033,1,0.030507,0,0,2,1,0,0,1,15.26,0,0,1,0,0,0,0,0,1,71.72,16.8,5.76
132.253072,1,0.007561,0,2,2,0,1,1,0,18.41,0,0,0,0,1,0,0,0,1,109.32,18.08,5.76
106.428953,1,0.018792,1,0,3,1,1,1,0,22.09,0,0,0,0,0,0,1,0,1,55.38,16.51,5.76
94.506536,2,0.052906,0,0,2,0,1,1,0,14.9,0,0,0,0,0,0,0,0,1,70.44,16.48,5.76
88.749828,0,0.033803,0,3,2,1,1,0,0,14.25,0,0,0,0,0,0,1,0,0,50.17,17.34,5.76
102.487716,1,0.029272,0,0,3,1,0,1,1,21.73,0,0,0,0,0,0,1,1,1,76.27,15.72,5.76
72.070491,1,0.041626,0,2,2,0,1,1,0,13.47,0,0,0,1,0,1,0,1,1,111.27,15.48,5.76
78.102864,2,0.064018,0,0,2,1,0,0,1,14.32,0,0,0,0,0,0,0,0,1,74.36,15.6,5.76
93.622022,2,0.021362,1,0,2,0,0,1,1,14.9,1,0,0,0,0,0,0,0,1,45.85,15.99,5.76
102.975869,1,0.009711,0,2,2,0,0,1,1,15.26,1,0,0,0,1,1,0,0,1,90.83,15.77,5.76
90.94353,2,0.032988,0,0,2,1,1,0,0,14.67,0,0,1,1,0,0,0,0,1,73.68,16.62,5.76
108.579039,0,0.02763,0,3,2,0,1,1,0,15.75,1,0,0,1,0,0,0,0,0,42.77,17.69,5.76
80.710373,2,0.06195,0,0,2,1,0,0,1,14.17,0,0,1,0,0,0,0,0,1,71.65,15.56,5.76
94.980144,0,0.010529,0,3,2,1,1,0,0,15.2,0,0,0,0,0,0,0,0,0,54.48,18.29,5.76
83.413803,2,0.023977,1,0,2,1,0,0,1,14.16,1,0,1,0,0,0,0,0,1,50.7,15.62,5.76
100.023366,1,0.049988,0,0,2,0,0,1,1,15.4,0,0,0,0,1,0,0,0,1,70.29,16.95,5.76
123.860101,1,0.024221,0,0,3,1,0,1,1,24.17,0,0,0,0,0,0,0,0,1,74.82,17.28,5.76
149.862839,0,0.020018,0,3,2,1,1,0,0,19.26,0,0,1,0,0,0,1,0,0,45.53,19.06,5.76
113.023291,2,0.017695,1,0,2,1,1,0,0,16.03,0,1,0,0,0,0,1,0,1,48.88,15.77,5.76
84.779382,0,0.011795,0,3,2,1,1,0,0,14.25,0,0,0,0,0,0,0,0,0,59.2,17.89,5.76
69.797523,2,0.014327,0,1,2,1,0,0,1,12.83,1,0,0,0,0,0,0,0,1,105.47,15.59,5.76
112.031059,2,0.026778,0,0,2,0,0,1,1,15.92,1,1,0,0,0,0,0,0,1,63.42,16.15,5.76
73.489464,0,0.027215,1,3,2,1,1,0,0,12.99,0,0,0,1,1,1,0,0,0,27.6,16.95,5.76
